rok,csfd,zanr
1984,93,KOMED
1985,99,KOMED
1986,95,KOMED
1987,103,KOMED
1988,84,KOMED
1989,97,KOMED
1990,100,KOMED
1991,117,KOMED
1992,102,KOMED
1993,90,KOMED
1994,117,KOMED
1995,98,KOMED
1996,117,KOMED
1997,104,KOMED
1998,115,KOMED
1999,101,KOMED
2000,98,KOMED
2001,96,KOMED
2002,75,KOMED
2003,97,KOMED
2004,77,KOMED
2005,74,KOMED
2006,64,KOMED
2007,71,KOMED
2008,60,KOMED
2009,65,KOMED
2010,75,KOMED
2011,80,KOMED
2012,59,KOMED
1911,0,KRIMI
1912,0,KRIMI
1913,0,KRIMI
1914,0,KRIMI
