reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Stone, Oliver",Èeta,Platoon ,1986,Váleènı/Drama/Akèní,"USA, Velká Británie",Oliver Stone,8.8,8.2,www.csfd.cz/film/8759-ceta/,www.imdb.com/title/tt0091763/,0.600000000000001
"Stone, Oliver",Salvador,Salvador ,1986,Drama/Thriller/Váleènı/ivotopisnı,"Velká Británie, USA",Oliver Stone,8,7.4,www.csfd.cz/film/8760-salvador/,www.imdb.com/title/tt0091886/,0.6
"Stone, Oliver",Wall Street,Wall Street ,1987,Krimi/Drama,USA,Oliver Stone,7.9,7.4,www.csfd.cz/film/8764-wall-street/,www.imdb.com/title/tt0094291/,0.5
"Stone, Oliver",Noèní talk show,Talk Radio ,1988,Drama,USA,Oliver Stone,7.3,7.1,www.csfd.cz/film/8762-nocni-talk-show/,www.imdb.com/title/tt0096219/,0.2
"Stone, Oliver",Narozen 4. èervence,Born on the Fourth of July ,1989,Drama/Váleènı/ivotopisnı,USA,Oliver Stone,8,7.1,www.csfd.cz/film/8751-narozen-4-cervence/,www.imdb.com/title/tt0096969/,0.9
"Stone, Oliver",JFK,JFK ,1991,Drama/Thriller/Historickı/ivotopisnı,"USA, Francie",Oliver Stone,8.6,8,www.csfd.cz/film/8755-jfk/,www.imdb.com/title/tt0102138/,0.6
"Stone, Oliver",The Doors,"Doors, The ",1991,Drama/ivotopisnı/Hudební,USA,Oliver Stone,8.5,7.1,www.csfd.cz/film/8752-the-doors/,www.imdb.com/title/tt0101761/,1.4
"Stone, Oliver",Nebe a zemì,Heaven & Earth ,1993,Drama/Váleènı/Akèní/ivotopisnı,"USA, Francie",Oliver Stone,8.1,6.7,www.csfd.cz/film/8754-nebe-a-zeme/,www.imdb.com/title/tt0107096/,1.4
"Stone, Oliver",Takoví normální zabijáci,Natural Born Killers ,1994,Akèní/Krimi/Romantickı/Drama,USA,Oliver Stone,7.6,7.2,www.csfd.cz/film/8757-takovi-normalni-zabijaci/,www.imdb.com/title/tt0110632/,0.399999999999999
"Stone, Oliver",Nixon,Nixon ,1995,Drama/ivotopisnı,USA,Oliver Stone,7.1,7,www.csfd.cz/film/8758-nixon/,www.imdb.com/title/tt0113987/,0.0999999999999996
"Stone, Oliver",U-Turn,U Turn ,1997,Drama/Thriller/Krimi,"USA, Francie",Oliver Stone,8.1,6.7,www.csfd.cz/film/8763-u-turn/,www.imdb.com/title/tt0120399/,1.4
"Stone, Oliver",Vítìzové a poraení,Any Given Sunday ,1999,Drama/Sportovní,USA,Oliver Stone,8.3,6.7,www.csfd.cz/film/8750-vitezove-a-porazeni/,www.imdb.com/title/tt0146838/,1.6
"Stone, Oliver",Divoši,Savages ,2012,Krimi/Thriller/Drama,USA,Oliver Stone,7.2,6.5,www.csfd.cz/film/288713-divosi/,www.imdb.com/title/tt1615065/,0.7
"Michalkov, Nikita",Svùj mezi cizími,"Svoj sredi èuich, èuoj sredi svoich ",1974,Dobrodrunı/Váleènı/Historickı,Sovìtskı svaz,Nikita Michalkov,7.5,7.3,www.csfd.cz/film/33623-svuj-mezi-cizimi/,www.imdb.com/title/tt0072231/,0.2
"Michalkov, Nikita",Otrokynì lásky,Raba ljubvi ,1976,Drama/Romantickı,Sovìtskı svaz,Nikita Michalkov,7.3,6.8,www.csfd.cz/film/33620-otrokyne-lasky/,www.imdb.com/title/tt0075119/,0.5
"Michalkov, Nikita",Nedokonèená skladba,Neokonèennaja piesa d¾a mechanièeskogo pianino ,1977,Drama,Sovìtskı svaz,Nikita Michalkov,7.8,7.6,www.csfd.cz/film/33617-nedokoncena-skladba/,www.imdb.com/title/tt0076446/,0.2
"Michalkov, Nikita",Oblomov,Neskolko dnej iz izni I. I. Oblomova ,1979,Komedie/Drama/Romantickı,Sovìtskı svaz,Nikita Michalkov,8.3,7.3,www.csfd.cz/film/33618-oblomov/,www.imdb.com/title/tt0079619/,1
"Michalkov, Nikita",Pìt veèerù,Pja vjeèerov ,1979,Drama/Romantickı,Sovìtskı svaz,Nikita Michalkov,7.6,7,www.csfd.cz/film/33619-pet-veceru/,www.imdb.com/title/tt0079764/,0.6
"Michalkov, Nikita",Pøíbuzenstvo,Rodnya ,1981,Drama/Poetickı,Sovìtskı svaz,Nikita Michalkov,7.5,7,www.csfd.cz/film/33621-pribuzenstvo/,www.imdb.com/title/tt0083004/,0.5
"Michalkov, Nikita",Beze svìdkù,Bez svidetelej ,1983,Drama,Sovìtskı svaz,Nikita Michalkov,7.2,6.8,www.csfd.cz/film/33614-beze-svedku/,www.imdb.com/title/tt0085238/,0.4
"Michalkov, Nikita",Oèi èerné,Oci ciornie ,1987,Komedie/Romantickı/Drama,"Sovìtskı svaz, Itálie, USA",Nikita Michalkov,7.8,7.2,www.csfd.cz/film/136196-oci-cerne/,www.imdb.com/title/tt0093664/,0.6
"Michalkov, Nikita",Urga,Urga ,1991,Drama,"Francie, Sovìtskı svaz",Nikita Michalkov,8.4,7.6,www.csfd.cz/film/33624-urga/,www.imdb.com/title/tt0103176/,0.800000000000001
"Michalkov, Nikita",Unaveni sluncem,Utomljonnyje solncem ,1994,Drama/Historickı,"Rusko, Francie",Nikita Michalkov,8.5,7.8,www.csfd.cz/film/33625-unaveni-sluncem/,www.imdb.com/title/tt0111579/,0.7
