Kameraman	Cameraman, The 	1928	Komedie / Romantickı / Rodinnı / Drama	USA	Buster Keaton, Edward Sedgwick	8.4	8.0	www.csfd.cz/film/24744-kameraman/	www.imdb.com/title/tt0018742/
Mu, kterı se smìje	Man Who Laughs, The 	1928	Drama / Horor / Romantickı	USA	Paul Leni	8.7	7.7	www.csfd.cz/film/103250-muz-ktery-se-smeje/	www.imdb.com/title/tt0019130/
Pád domu Usherù	Chute de la maison Usher, La 	1928	Drama / Horor	Francie / USA	Jean Epstein	7.4	7.3	www.csfd.cz/film/131387-pad-domu-usheru/	www.imdb.com/title/tt0018770/
Páter Vojtìch 	Páter Vojtìch 	1928	Romantickı	Èeskoslovensko	Martin Friè	7.3	6.9	www.csfd.cz/film/3150-pater-vojtech/	www.imdb.com/title/tt0169154/
Plavèík na sladké vodì	Steamboat Bill, Jr. 	1928	Komedie / Romantickı / Rodinnı	USA	Charles Reisner, Buster Keaton	7.9	7.9	www.csfd.cz/film/24804-plavcik-na-sladke-vode/	www.imdb.com/title/tt0019421/
Pohorská vesnice 	Pohorská vesnice 	1928	Drama	Èeskoslovensko	Miroslav Josef Kròanskı	4.1	NA	www.csfd.cz/film/223426-pohorska-vesnice/	www.imdb.com/title/tt1092402/
Rozmary bohaté eny	Champagne 	1928	Komedie	Velká Británie	Alfred Hitchcock	6.3	5.7	www.csfd.cz/film/4355-rozmary-bohate-zeny/	www.imdb.com/title/tt0018756/
Slamìnı klobouk	Un chapeau de paille d'Italie 	1928	Komedie	Francie / Nìmecko	René Clair	7	7.0	www.csfd.cz/film/140383-slameny-klobouk/	www.imdb.com/title/tt0018523/
Špioni	Spione 	1928	Thriller / Krimi	Nìmecko	Fritz Lang	8	7.6	www.csfd.cz/film/5625-spioni/	www.imdb.com/title/tt0019415/
Utrpení Panny orleánské	Passion de Jeanne d'Arc, La 	1928	Drama / ivotopisnı / Historickı	Francie	Carl Theodor Dreyer	8.6	8.2	www.csfd.cz/film/100287-utrpeni-panny-orleanske/	www.imdb.com/title/tt0019254/
Wind, The 	Wind, The 	1928	Drama / Western	USA	Victor Sjöström	8.3	8.0	www.csfd.cz/film/27898-wind-the/	www.imdb.com/title/tt0019585/
ena bez studu	Woman of Affairs, A 	1928	Drama	USA	Clarence Brown	7.2	7.3	www.csfd.cz/film/27834-zena-bez-studu/	www.imdb.com/title/tt0019591/
ena se špatnou povìstí	Easy Virtue 	1928	Drama	Velká Británie	Alfred Hitchcock	5.7	5.7	www.csfd.cz/film/4358-zena-se-spatnou-povesti/	www.imdb.com/title/tt0017843/
...a neuveï nás v pokušení	Manxman, The 	1929	Drama	Velká Británie	Alfred Hitchcock	6.9	6.2	www.csfd.cz/film/4373-a-neuved-nas-v-pokuseni/	www.imdb.com/title/tt0020142/
Arzenál	Arsenal 	1929	Drama	Sovìtskı svaz	Alexandr Dovenko	7.6	7.2	www.csfd.cz/film/158432-arzenal/	www.imdb.com/title/tt0019649/
Asfalt	Asphalt 	1929	Drama	Nìmecko	Joe May	7.8	7.3	www.csfd.cz/film/6527-asfalt/	www.imdb.com/title/tt0019655/
Bílé peklo	Weiße Hölle vom Piz Palü, Die 	1929	Drama / Akèní / Dobrodrunı	Nìmecko	Georg Wilhelm Pabst, Arnold Fanck	8.3	6.9	www.csfd.cz/film/104415-bile-peklo/	www.imdb.com/title/tt0020570/
Broadway Melody, The 	Broadway Melody, The 	1929	Muzikál / Romantickı	USA	Harry Beaumont	7	6.3	www.csfd.cz/film/80477-broadway-melody-the/	www.imdb.com/title/tt0019729/
Deník ztracené	Tagebuch einer Verlorenen, Das 	1929	Drama	Nìmecko	Georg Wilhelm Pabst	6.9	7.8	www.csfd.cz/film/27428-denik-ztracene/	www.imdb.com/title/tt0020475/
Erotikon 	Erotikon 	1929	Drama / Romantickı / Poetickı / Psychologickı	Èeskoslovensko	Gustav Machatı	7.8	7.2	www.csfd.cz/film/6307-erotikon/	www.imdb.com/title/tt0019850/
Generální linie	Staroje i novoje 	1929	Drama	Sovìtskı svaz / USA	Grigorij Alexandrov, Sergej M. Ejzenštejn	8.4	7.1	www.csfd.cz/film/32385-generalni-linie/	www.imdb.com/title/tt0020451/
Její zpovìï	Blackmail 	1929	Thriller / Krimi	Velká Británie	Alfred Hitchcock	7.9	7.0	www.csfd.cz/film/4353-jeji-zpoved/	www.imdb.com/title/tt0019702/
Kokosové oøechy	Cocoanuts, The 	1929	Komedie / Muzikál	USA	Robert Florey, Joseph Santley	7.6	7.0	www.csfd.cz/film/80542-kokosove-orechy/	www.imdb.com/title/tt0019777/
Mocny cz³owiek 	Mocny cz³owiek 	1929	Krimi / Drama	Polsko	Henryk Szaro	9.2	7.2	www.csfd.cz/film/212507-mocny-czlowiek/	www.imdb.com/title/tt0794314/
